pii,workId,publishedDate,updatedDate
S2405844017317279,85040776394,201804,20200121
S2405844017317279,85057174647,201811,20200311
S2405844017317279,85078522109,202001,20200712
S2405844017317279,85076574851,202004,20200427
S2405844017317279,85057246293,201906,20200214
S2405844017317279,85078212342,202003,20200131
S2405844017317279,85054516759,201903,20200217
S2405844017317279,85064708639,201909,20200214
S2405844017317279,85086842237,202001,20200708
S2405844017317279,85081393639,202003,20200624
S2405844017317279,85068901183,201901,20191006
