pii,workId,publishedDate,updatedDate
S0031302517304488,85058690804,201901,20200607
S0031302517304488,85054501860,201812,20200423
S0031302517304488,85075625755,202001,20200310
S0031302517304488,85063972686,201904,20200706
S0031302517304488,85070355907,202002,20200609
S0031302517304488,85034788544,201801,20200116
S0031302517304488,85059618525,201902,20200712
S0031302517304488,85065220732,201909,20200713
S0031302517304488,85067888443,201908,20200405
S0031302517304488,85083522737,202003,20200606
S0031302517304488,85053665627,201812,20200607
S0031302517304488,85060044815,201902,20200710
