pii,workId,publishedDate,updatedDate
S0031302517304932,85065498657,201905,20200705
S0031302517304932,85057017436,201901,20200527
S0031302517304932,85060757953,201902,20200229
S0031302517304932,85058682891,201901,20200328
S0031302517304932,85049207604,201810,20200507
S0031302517304932,85053038450,201810,20200229
S0031302517304932,85034788544,201801,20200116
S0031302517304932,85054875910,201812,20200225
S0031302517304932,85062645986,201905,20200619
S0031302517304932,85085525877,202001,20200712
S0031302517304932,85078964623,202004,20200521
S0031302517304932,85054634430,201810,20200404
S0031302517304932,85073977019,202008,20200604
S0031302517304932,85087111159,202007,20200707
