pii,workId,publishedDate,updatedDate
S0093775417300465,85082426346,202006,20200427
S0093775417300465,85081901266,202001,20200711
S0093775417300465,85070829257,201901,20200707
S0093775417300465,85052526917,201809,20200317
S0093775417300465,85086368894,202001,20200618
S0093775417300465,85078326509,202001,20200221
S0093775417300465,85070946573,201910,20200703
S0093775417300465,85085137909,202005,20200616
S0093775417300465,85068059532,201908,20200509
S0093775417300465,85068091550,201901,20200712
S0093775417300465,85077839949,202003,20200713
S0093775417300465,85069913579,201907,20200708
S0093775417300465,85082772593,202006,20200519
S0093775417300465,85086508367,202006,20200712
